name,team,position,next_opponent,fixture,predicted_points,now_cost,points_per_game,form,expected_goals,minutes,assists,goals_scored,yellow_cards,red_cards,saves_per_90,total_points,clean_sheets,opponent_difficulty,is_home,chance_of_playing_this_round,player_code,web_name,display_name,image_url_primary,image_url_secondary,image_url_tertiary
Jack Grealish,Everton,MID,Liverpool,Everton (A) vs Liverpool,3.6472878571428566,6.8,6.0,7.7,0.024,286,4,0,1,0,0.0,24,2,1,False,,114283,Grealish,Jack Grealish,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p114283.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p114283.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_114283.png
Hugo Ekitiké,Liverpool,FWD,Everton,Liverpool (H) vs Everton,3.6205278571428563,8.8,6.0,4.3,0.087,299,1,2,0,0,0.0,24,2,3,True,,510663,Ekitiké,Hugo Ekitiké,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p510663.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p510663.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_510663.png
Xavi Simons,Spurs,MID,Brighton,Spurs (A) vs Brighton,3.6120499999999995,7.0,6.0,6.0,0.0018,70,1,0,0,0,0.0,6,1,3,False,,493362,Xavi,Xavi Simons,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p493362.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p493362.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_493362.png
Jaidon Anthony,Burnley,MID,Nott'm Forest,Burnley (H) vs Nott'm Forest,3.6064428571428566,5.5,6.0,7.3,0.10200000000000001,352,1,2,1,0,0.0,24,2,3,True,,444180,Anthony,Jaidon Anthony,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p444180.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p444180.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_444180.png
Joško Gvardiol,Man City,DEF,Arsenal,Man City (A) vs Arsenal,3.6054749999999998,5.8,6.0,2.0,0.0,90,0,0,0,0,0.0,6,1,2,False,100.0,477424,Gvardiol,Joško Gvardiol,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p477424.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p477424.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_477424.png
Gianluigi Donnarumma,Man City,GKP,Arsenal,Man City (A) vs Arsenal,3.604799999999999,5.5,6.0,6.0,0.0,90,0,0,0,0,2.0,6,1,2,False,,204936,Donnarumma,Gianluigi Donnarumma,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p204936.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p204936.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_204936.png
Benjamin White,Arsenal,DEF,Man City,Arsenal (H) vs Man City,3.604725,5.4,6.0,0.0,0.0006000000000000001,70,0,0,0,0,0.0,6,1,2,True,100.0,198869,White,Benjamin White,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p198869.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p198869.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_198869.png
Daniel Muñoz Mejía,Crystal Palace,DEF,West Ham,Crystal Palace (A) vs West Ham,3.6041999999999996,5.6,6.0,6.3,0.0102,360,1,0,2,0,0.0,24,3,3,False,,247348,Muñoz,Daniel Muñoz Mejía,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p247348.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p247348.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_247348.png
Jordan Pickford,Everton,GKP,Liverpool,Everton (A) vs Liverpool,3.60365,5.5,6.0,7.3,0.0,360,0,0,0,0,2.25,24,2,1,False,,111234,Pickford,Jordan Pickford,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p111234.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p111234.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_111234.png
David Raya Martín,Arsenal,GKP,Man City,Arsenal (H) vs Man City,3.6012999999999993,5.5,6.0,4.7,0.0,360,0,0,1,0,2.75,24,3,2,True,,154561,Raya,David Raya Martín,https://images.weserv.nl/?url=resources.premierleague.com/premierleague/photos/players/250x250/p154561.png&w=250&h=250&fit=cover&a=attention,https://resources.premierleague.com/premierleague/photos/players/110x140/p154561.png,https://fantasy.premierleague.com/dist/img/shirts/standard/shirt_154561.png
