id,name,now_cost,position,team,cost_change_start_fall,creativity,status,form_rank,expected_assists_per_90,goals_scored,region,selected_rank,threat_rank_type,creativity_rank,direct_freekicks_order,assists,expected_goal_involvements,cost_change_event,web_name,form_rank_type,clean_sheets,penalties_missed,ict_index_rank_type,cost_change_start,value_season,can_select,expected_goals_conceded_per_90,clean_sheets_per_90,event_points,goals_conceded,form,cost_change_event_fall,transfers_out,threat_rank,points_per_game,value_form,minutes,ict_index_rank,chance_of_playing_next_round,red_cards,expected_assists,points_per_game_rank_type,influence_rank_type,now_cost_rank,creativity_rank_type,ep_next,dreamteam_count,yellow_cards,in_dreamteam,saves,penalties_order,bps,selected_rank_type,ep_this,saves_per_90,news_added,expected_goals,transfers_out_event,threat,news,ict_index,influence,transfers_in,expected_goals_conceded,points_per_game_rank,bonus,now_cost_rank_type,penalties_saved,starts_per_90,team_join_date,expected_goals_per_90,influence_rank,starts,own_goals,goals_conceded_per_90,total_points,transfers_in_event,chance_of_playing_this_round,corners_and_indirect_freekicks_order,expected_goal_involvements_per_90,selected_by_percent
25,Oleksandr Zinchenko,48,DEF,Arsenal,2,26.5,a,352,0.03,0,225.0,213,111,345,,0,0.14,0,Zinchenko,116,2,0,132,-2,3.5,True,0.69,0.76,0,0,0.4,0,308363,332,2.1,0.1,238,402,100.0,0,0.08,82,149,297,113,0.9,0,1,False,0,,66,83,0.9,0.0,2024-12-09T09:30:06.099861Z,0.06,635,23.0,,7.2,22.2,90462,1.82,247,0,33,0,0.76,2022-07-22,0.02,420,2,0,0.0,17,324,100.0,,0.05,0.9
73,Norberto Murara Neto,41,GKP,Arsenal,4,0.0,a,500,0.0,0,30.0,225,39,565,,0,0.00,0,Neto,62,0,0,32,-4,1.7,True,1.46,0.0,0,2,0.0,0,245282,535,3.5,0.0,180,396,100.0,0,0.00,12,32,600,51,0.5,0,0,False,11,,30,32,0.5,5.5,2024-10-05T17:30:06.760449Z,0.00,684,0.0,,7.8,77.8,86844,2.91,83,0,40,0,1.0,2024-08-30,0.0,349,2,0,1.0,7,208,100.0,,0.0,0.8
186,Raheem Sterling,67,MID,Arsenal,3,45.6,a,361,0.06,0,241.0,219,127,305,3.0,1,1.02,0,Sterling,178,0,0,174,-3,1.6,True,0.81,0.0,0,2,0.4,0,155266,223,1.4,0.1,212,354,100.0,0,0.14,169,181,35,180,0.9,0,1,False,0,,29,65,0.9,0.0,2024-12-21T21:30:08.006504Z,0.88,477,79.0,,15.8,35.4,48309,1.90,362,0,17,0,1.27,2024-08-30,0.37,399,3,0,0.85,11,224,100.0,,0.43,0.8
578,Riccardo Calafiori,58,DEF,Arsenal,2,80.1,d,359,0.07,1,106.0,192,30,252,,1,1.12,0,Calafiori,117,1,0,71,-2,4.5,True,1.0,0.13,0,10,0.4,0,385527,169,2.4,0.1,704,230,75.0,0,0.55,65,85,88,67,0.7,1,3,False,0,,104,77,0.7,0.0,2025-01-12T22:00:08.460074Z,0.57,2337,123.0,Muscle injury - 75% chance of playing,39.9,196.0,214701,7.80,213,1,8,0,1.02,2024-07-29,0.07,226,8,0,1.28,26,112,75.0,,0.14,1.2
597,Myles Lewis-Skelly,45,MID,Arsenal,0,63.5,a,219,0.03,0,241.0,349,199,278,,0,0.16,0,Lewis-Skelly,102,2,0,176,0,2.7,True,0.93,0.43,2,6,1.4,0,16069,373,1.5,0.3,418,363,100.0,0,0.16,152,169,421,171,1.9,0,2,False,0,,87,113,1.9,0.0,2024-12-03T15:00:08.736469Z,0.00,1006,10.0,,13.3,60.2,32001,4.32,338,0,259,0,1.08,2022-12-04,0.0,363,5,0,1.29,12,3166,100.0,,0.03,0.2
633,Mikel Merino,60,MID,Arsenal,0,133.0,a,85,0.08,2,200.0,476,60,185,,1,2.94,0,Merino,40,2,0,92,0,6.3,True,0.85,0.24,2,9,3.2,0,21152,90,2.5,0.5,753,167,100.0,0,0.70,86,90,75,121,3.7,0,2,False,0,,162,175,3.7,0.0,2024-11-30T22:00:08.239353Z,2.24,391,225.0,,55.9,202.2,24258,7.12,197,2,49,0,0.96,2024-08-27,0.27,217,8,0,1.08,38,306,100.0,,0.35,0.1
638,Salah-Eddine Oulad M'hand,45,MID,Arsenal,0,0.0,a,594,0.0,0,152.0,640,265,642,,0,0.00,0,Oulad M'hand,236,0,0,269,0,0.0,True,0.0,0.0,0,0,0.0,0,1797,626,0.0,0.0,0,644,,0,0.00,273,269,420,273,0.5,0,0,False,0,,0,272,0.5,0.0,,0.00,26,0.0,,0.0,0.0,2171,0.00,652,0,258,0,0.0,2021-10-25,0.0,644,0,0,0.0,0,21,,,0.0,0.0
639,Tommy Setford,45,GKP,Arsenal,0,0.0,a,620,0.0,0,241.0,528,64,665,,0,0.00,0,Setford,74,0,0,76,0,0.0,True,0.0,0.0,0,0,0.0,0,3669,651,0.0,0.0,0,668,,0,0.00,76,76,453,70,0.5,0,0,False,0,,0,67,0.5,0.0,,0.00,92,0.0,,0.0,0.0,3540,0.00,676,0,19,0,0.0,2024-07-24,0.0,669,0,0,0.0,0,38,,,0.0,0.0
657,Maldini Kacurri,40,DEF,Arsenal,0,0.0,a,485,0.0,0,2.0,486,207,551,,0,0.00,0,Kacurri,190,0,0,218,0,0.0,True,0.0,0.0,0,0,0.0,0,7861,519,0.0,0.0,0,569,,0,0.00,218,218,684,216,0.5,0,0,False,0,,0,176,0.5,0.0,,0.00,164,0.0,,0.0,0.0,10607,0.00,577,0,214,0,0.0,2024-09-14,0.0,569,0,0,0.0,0,113,,,0.0,0.1
658,Ayden Heaven,40,DEF,Arsenal,0,0.0,a,491,0.0,0,241.0,518,213,556,,0,0.00,0,Heaven,196,0,0,223,0,0.0,True,0.0,0.0,0,0,0.0,0,5328,525,0.0,0.0,0,574,,0,0.00,223,223,690,221,0.5,0,0,False,0,,0,186,0.5,0.0,,0.00,85,0.0,,0.0,0.0,6634,0.00,582,0,220,0,0.0,2024-02-20,0.0,574,0,0,0.0,0,69,,,0.0,0.1
